title,author,length
Lucky Son of a Gun,John Conroe,Length: 8 hrs and 11 mins
A Han Yang Omnibus,Han Yang,Length: 113 hrs and 51 mins
Fake Dates and Fanged Mistakes,Alice Winters,Length: 10 hrs and 11 mins
Canines and Cocktails,"Kevin Hearne,Delilah S. Dawson,Chuck Wendig",Length: 7 hrs and 55 mins
Hexcess Baggage,Lily Harper Hart,Length: 6 hrs and 46 mins
Undead Urges,Amanda M. Lee,Length: 8 hrs and 56 mins
Fierce Obsession,S. Massery,Length: 9 hrs and 13 mins
Never Too Close,Chelle Bliss,Length: 6 hrs and 12 mins
The Path of Ascension 5,C. Mantis,Length: 27 hrs and 35 mins
Where's Molly,H. D. Carlton,Length: 5 hrs and 58 mins
Revelations,D. Petrie,Length: 14 hrs and 18 mins
Heartwood Mage,James Haddock,Length: 8 hrs and 17 mins
Between Never and Forever,Shain Rose,Length: 11 hrs and 47 mins
The Butcher Game,Alaina Urquhart,Length: Not Yet Known
Mark of the Fool 5,J.M. Clarke,Length: 18 hrs and 30 mins
Drawn By Jesus,Leighton Flowers,Length: 6 hrs and 53 mins
Releasing Maladek,Victoria Aveline,Length: 4 hrs and 57 mins
On the Same Page,Haley Cass,Length: 16 hrs and 18 mins
A Soul to Heal,Opal Reyne,Length: 20 hrs and 17 mins
Law,Neven Iliev,Length: 10 hrs and 6 mins
Valdemar,Mercedes Lackey,Length: 16 hrs and 58 mins
Never Again,R.L. Mathewson,Length: 9 hrs and 8 mins
The Wild Side,Fern Michaels,Length: 10 hrs and 49 mins
Becoming Happy & Healthy,"Jeanine Amapola,Madison Prewet Toutt",Length: 5 hrs and 18 mins
Ashborn Primordial,Vowron Prime,Length: 24 hrs and 7 mins
Mimic & Me 2,"Cassius Lange,Ryan Tang",Length: 19 hrs and 27 mins
Magdalene Nox,Milena McKay,Length: 13 hrs and 12 mins
"Questions, Quarrels, & Quandary",Tonya Kappes,Length: 4 hrs and 52 mins
Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 11 hrs
Wind and Truth,Brandon Sanderson,Length: 55 hrs
Combat Love,Alisyn Camerota,Length: 8 hrs and 31 mins
The Amish Wife,Gregg Olsen,Length: 10 hrs and 10 mins
Only the Good Die Young,Julie Mulhern,Length: 1 hr and 58 mins
Bridesmaid for Hire,Meghan Quinn,Length: 13 hrs and 47 mins
Framed,"John Grisham,Jim McCloskey",Length: 12 hrs
The Witch of Webs,pirateaba,Length: 47 hrs and 18 mins
Goddess Descension,Rain Harlow,Length: 20 hrs and 3 mins
The Mage from Nowhere,B.T. Narro,Length: 18 hrs and 42 mins
The Tragedy of Felix and Jake,J. Daniels,Length: 10 hrs and 32 mins
"Overlord, Vol. 12",Kugane Maruyama,Length: 9 hrs and 6 mins
Shadowblade,"Terry Mancour,Emily Burch Harris",Length: 20 hrs and 13 mins
Eight Seconds to Ride,Ashley James,Length: 9 hrs and 19 mins
Vigor Mortis: Volume 4,"Natalie Maher,Thundamoo",Length: 21 hrs and 37 mins
An Emancipation of the Mind,Matthew Stewart,Length: 10 hrs and 42 mins
Hard Knocks,Nathan Lowell,Length: 11 hrs and 35 mins
The Mirror,Nora Roberts,Length: 14 hrs and 24 mins
Shattered Will,"J.N. Chaney,Terry Maggert",Length: 10 hrs and 9 mins
Soulbound 1: A Haremlit Fantasy Adventure,Cassius Lange,Length: 15 hrs and 17 mins
The Flame of the North,"Alexey Osadchuk,Andrew Douglas Schmitt - translator",Length: 8 hrs and 2 mins
The Wanted,"Jason Anspach,Nick Cole",Length: 13 hrs and 1 min
Ariah & Lucian,Tay Mo'Nae,Length: 9 hrs and 50 mins
My Quiet Blacksmith Life in Another World: Volume 6,Tamamaru,Length: 7 hrs and 18 mins
The Renegade Akseli Cyborg,Dianne Duvall,Length: 12 hrs and 21 mins
Lawe,Grey Huffington,Length: 9 hrs and 30 mins
Volcano Violence,Jasmine Webb,Length: 6 hrs and 28 mins
The Truth About the Devlins,Lisa Scottoline,Length: 9 hrs and 40 mins
The Songbird and the Heart of Stone,Carissa Broadbent,Length: 15 hrs and 33 mins
On the Move,Abrahm Lustgarten,Length: 10 hrs and 51 mins
What Happened to Nina?,Dervla McTiernan,Length: 10 hrs and 50 mins
Return of the Runebound Professor,Actus,Length: 21 hrs and 22 mins
Pagan America,John Daniel Davidson,Length: 10 hrs and 26 mins
The Angel of Indian Lake,"Stephen Graham Jones,Stephen King",Length: 16 hrs and 30 mins
Push,Nyla K,Length: 19 hrs and 24 mins
David Baldacci November 2024,David Baldacci,Length: 12 hrs
The Shattered Path,Edward W. Robertson,Length: 18 hrs and 40 mins
