title,author,length
Lucky Son of a Gun,John Conroe,Length: 8 hrs and 11 mins
A Han Yang Omnibus,Han Yang,Length: 113 hrs and 51 mins
Fake Dates and Fanged Mistakes,Alice Winters,Length: 10 hrs and 11 mins
Canines and Cocktails,"Kevin Hearne,Delilah S. Dawson,Chuck Wendig",Length: 7 hrs and 55 mins
Hexcess Baggage,Lily Harper Hart,Length: 6 hrs and 46 mins
Undead Urges,Amanda M. Lee,Length: 8 hrs and 56 mins
Fierce Obsession,S. Massery,Length: 9 hrs and 13 mins
Never Too Close,Chelle Bliss,Length: 6 hrs and 12 mins
The Path of Ascension 5,C. Mantis,Length: 27 hrs and 35 mins
Where's Molly,H. D. Carlton,Length: 5 hrs and 58 mins
Revelations,D. Petrie,Length: 14 hrs and 18 mins
Heartwood Mage,James Haddock,Length: 8 hrs and 17 mins
Between Never and Forever,Shain Rose,Length: 11 hrs and 47 mins
The Butcher Game,Alaina Urquhart,Length: Not Yet Known
Mark of the Fool 5,J.M. Clarke,Length: 18 hrs and 30 mins
Drawn By Jesus,Leighton Flowers,Length: 6 hrs and 53 mins
Releasing Maladek,Victoria Aveline,Length: 4 hrs and 57 mins
On the Same Page,Haley Cass,Length: 16 hrs and 18 mins
A Soul to Heal,Opal Reyne,Length: 20 hrs and 17 mins
Law,Neven Iliev,Length: 10 hrs and 6 mins
